Country,Gold,Silver,Bronze,Total,HDI_Value,Population,GDP_2023
United States,40,44,42,126,0.927,345.43,27720.709
China,40,27,24,91,0.788,1419.32,17794.78304
Japan,20,12,13,45,0.92,123.75,4204.494802
Australia,18,19,16,53,0.946,26.71,1728.057317
France,16,26,22,64,0.91,66.55,3051.831611
Netherlands,15,7,12,34,0.946,18.23,1154.361305
Great Britain,14,22,29,65,0.94,69.13,3380.85452
Republic of Korea,13,9,10,32,0.929,51.71,1712.79285
Italy,12,13,15,40,0.906,59.34,2300.941153
Germany,12,13,8,33,0.95,84.55,4525.703904
New Zealand,10,7,3,20,0.939,5.21,252.1755061
Canada,9,7,11,27,0.935,39.74,2142.470914
Uzbekistan,8,2,3,13,0.727,36.36,101.5917697
Hungary,6,7,6,19,0.851,9.68,212.3889065
Spain,5,4,9,18,0.911,47.91,1620.090735
Sweden,4,4,3,11,0.952,10.61,584.9604758
Kenya,4,2,5,11,0.601,56.43,108.038589
Norway,4,1,3,8,0.966,5.58,485.3108236
Ireland,4,0,3,7,0.95,5.26,551.3948893
Brazil,3,7,10,20,0.76,212,2173.665656
Iran,3,6,3,12,0.78,91.57,404.62566
Ukraine,3,5,4,12,0.734,37.86,178.757022
Romania,3,4,2,9,0.827,19.02,350.7758564
Georgia,3,3,1,7,0.814,3.81,30.77783359
Belgium,3,1,6,10,0.942,11.74,644.7827567
Bulgaria,3,1,3,7,0.799,6.76,102.407653
Serbia,3,1,1,5,0.805,6.74,81.34266075
Czechia,3,0,2,5,0.895,10.73,343.2078746
Denmark,2,2,5,9,0.952,5.98,407.0919203
Croatia,2,2,3,7,0.878,3.88,84.3937955
Azerbaijan,2,2,3,7,0.76,10.34,72.35617647
Cuba,2,1,6,9,0.764,10.98,107.3518
Bahrain,2,1,1,4,0.888,1.61,46.07986702
Slovenia,2,1,0,3,0.926,2.12,69.14846842
Chinese Taipei,2,0,5,7,0.956,23.21,777.7765
Austria,2,0,3,5,0.926,9.12,511.6852038
Philippines,2,0,2,4,0.71,115.84,437.1463727
Indonesia,2,0,1,3,0.713,283.49,1371.171152
Algeria,2,0,1,3,0.745,46.81,247.626161
Israel,1,5,1,7,0.915,9.39,513.6111008
Poland,1,4,5,10,0.881,38.54,809.2006978
Kazakhstan,1,3,3,7,0.802,20.59,262.6418921
South Africa,1,3,2,6,0.717,64.01,380.6992718
Thailand,1,3,2,6,0.803,71.67,514.9686992
Jamaica,1,3,2,6,0.706,2.84,19.42335541
Ethiopia,1,3,0,4,0.492,132.06,163.6979276
Switzerland,1,2,5,8,0.967,8.92,884.9404022
Ecuador,1,2,2,5,0.765,18.14,118.844826
Portugal,1,2,1,4,0.874,10.43,289.1142897
Greece,1,1,6,8,0.893,10.05,243.4983332
Egypt,1,1,1,3,0.728,116.54,396.0025
Argentina,1,1,1,3,0.849,45.7,646.0752775
Tunisia,1,1,1,3,0.732,12.28,48.52959542
Uganda,1,1,0,2,0.55,50.02,48.76895586
Chile,1,1,0,2,0.86,19.76,335.5333317
Botswana,1,1,0,2,0.708,2.52,19.3960845
Saint Lucia,1,1,0,2,0.725,0.18,2.43
Dominican Republic,1,0,2,3,0.766,11.43,121.4442793
Guatemala,1,0,1,2,0.629,18.41,104.4502106
Morocco,1,0,1,2,0.698,38.08,144.4171032
Pakistan,1,0,0,1,0.54,251.27,337.9123014
Dominica,1,0,0,1,0.74,0.07,0.653992593
Turkey,0,3,5,8,0.855,66.2,1118.25296
Mexico,0,3,2,5,0.781,130.86,1789.114435
Colombia,0,3,1,4,0.758,52.89,363.4938412
Armenia,0,3,1,4,0.786,2.97,24.08574959
Democratic People's Republic of Korea,0,2,4,6,0.62,26.49,21.24
Kyrgyzstan,0,2,4,6,0.701,7.19,13.99
Lithuania,0,2,2,4,0.879,2.86,79.78987742
India,0,1,5,6,0.644,1450.94,3567.551675
Republic of Moldova,0,1,3,4,0.763,3.034,16.53944
Kosovo,0,1,1,2,,1.6,10.46821923
Fiji,0,1,0,1,0.729,0.93,5.442046565
Jordan,0,1,0,1,0.736,11.55,50.96747535
Mongolia,0,1,0,1,0.741,3.48,20.32512139
Cyprus,0,1,0,1,0.907,1.36,33.88693071
Panama,0,1,0,1,0.82,4.52,83.3181769
Tajikistan,0,0,3,3,0.679,10.59,12.06060201
Puerto Rico,0,0,2,2,0.685,3.24,117.9023
Grenada,0,0,2,2,0.793,0.12,1.316733333
Albania,0,0,2,2,0.789,2.79,23.54717983
Malaysia,0,0,2,2,0.807,35.56,399.7051693
Cabo Verde,0,0,1,1,0.661,0.526,2.533819406
Peru,0,0,1,1,0.762,34.22,267.6032487
Singapore,0,0,1,1,0.949,5.83,501.4275001
Cote d'Ivoire,0,0,1,1,0.534,31.165,78.87548925
Qatar,0,0,1,1,0.875,3.05,213.0028093
Zambia,0,0,1,1,0.569,21.32,27.57795647
Slovakia,0,0,1,1,0.855,5.51,132.9008
